,player_name,prediction
451,WPUJC Vaas,0
452,Washington Sundar,0
453,X Thalaivan Sargunam,8
454,Y Gnaneswara Rao,0
455,Y Nagar,4
456,Y Venugopal Rao,5
457,YK Pathan,2
458,YS Chahal,8
459,YV Takawale,7
460,Yashpal Singh,0
461,Younis Khan,8
462,Yuvraj Singh,6
463,Z Khan,7
